id_candidato,id_vacante_sistema,id_rechazo,1,2,3,4,5
1247,2471,0,20180402,20180402,20180406,20180410,
1053,2472,0,20180101,20180102,,20180109,
1069,2472,0,20180101,20180103,20180111,20180115,
1096,2474,0,20180116,20180117,20180122,20180126,
1118,2475,0,20180123,20180124,20180129,20180202,
1162,2476,0,20180207,20180207,20180221,20180226,
1444,2476,2,20180207,20180209,,,20180208
1600,2476,16,20180207,20180210,,,20180208
1146,2476,0,20180214,20180215,20180214,20180216,
1166,2478,0,20180219,20180219,20180222,20180226,
1295,2479,0,20180420,20180420,20180423,20180426,
1050,2480,0,20180101,20180102,,20180105,
1055,2480,0,20180101,20180101,,20180109,
1505,2481,2,20180201,20180201,,,20180202
1155,2481,0,20180213,20180213,20180215,20180220,
1506,2482,5,20180226,20180226,,,20180227
1191,2482,0,20180301,20180301,20180307,20180313,
1225,2483,0,20180313,20180313,20180315,20180320,
1547,2484,0,20180502,20180502,20180503,20180507,
1540,2485,10,20180410,20180410,,,20180411
1591,2485,0,20180420,20180420,20180424,20180426,
1532,2486,1,20180118,20180119,,,20180119
1188,2486,0,20180302,20180302,20180308,20180312,
1233,2487,0,20180320,20180320,20180323,20180330,
1234,2488,0,20180326,20180326,20180327,20180328,
1074,2489,0,20180101,20180101,20180112,20180116,
1531,2490,2,20180117,20180118,,,20180118
1285,2490,0,20180419,20180420,20180420,20180425,
1059,2491,0,20180101,20180102,,20180112,
1381,2492,3,20180101,20180101,,,20180102
1462,2492,5,20180122,20180123,,,20180123
1026,2492,0,20180125,20180125,20180131,20180206,
1509,2493,1,20180125,20180126,,,20180126
1508,2493,2,20180125,20180125,,,20180126
1178,2493,0,20180223,20180223,20180302,20180306,
1365,2494,1,20180223,20180223,,,20180224
1352,2494,1,20180309,20180309,,,20180310
1478,2494,2,20180320,20180321,,,20180321
1240,2494,0,20180328,20180329,20180330,20180403,
1437,2495,1,20180403,20180403,,,20180404
1296,2495,0,20180412,20180412,20180423,20180425,
1412,2496,1,20180417,20180417,,,20180418
1419,2496,0,20180425,20180425,20180504,20180508,
1102,2497,0,20180122,20180123,20180125,20180129,
1580,2498,1,20180402,20180403,,,20180403
1268,2498,0,20180413,20180414,20180413,20180417,
1098,2499,0,20180115,20180115,20180122,20180129,
1518,2499,1,20180115,20180115,,,20180116
1516,2499,15,20180115,20180116,,,20180116
1150,2499,0,20180213,20180213,20180214,20180219,
1202,2501,0,20180309,20180311,20180309,20180313,
1351,2502,1,20180313,20180313,,,20180314
1473,2502,2,20180313,20180315,,,20180314
1355,2502,2,20180313,20180313,,,20180314
1232,2502,0,20180320,20180320,20180322,20180326,
1386,2503,11,20180320,20180321,,,20180321
1599,2503,2,20180323,20180324,,,20180324
1409,2503,0,20180410,20180410,,,
1596,2503,2,20180411,20180411,,,20180412
1359,2503,2,20180411,20180412,,,20180412
1284,2503,0,20180416,20180416,20180419,20180423,
1283,2504,0,20180416,20180416,20180419,20180423,
1570,2504,10,20180416,20180417,,,20180417
1112,2504,0,20180101,20180102,20180202,20180202,
1079,2507,0,20180111,20180112,20180116,20180119,
1325,2508,2,20180112,20180112,,,20180113
1025,2508,0,20180115,20180116,20180117,20180123,
1513,2509,2,20180206,20180206,,,20180207
1152,2509,0,20180214,20180214,20180216,20180220,
1363,2510,1,20180226,20180227,,,20180227
1315,2510,16,20180306,20180307,,,20180307
1242,2510,0,20180327,20180328,20180329,20180402,
1031,2511,0,20180403,20180403,20180406,20180412,
1249,2512,0,20180405,20180405,20180406,20180410,
1184,2513,0,20180228,20180228,20180302,20180306,
1336,2514,9,20180316,20180316,,,20180317
1545,2514,0,20180503,20180503,20180504,20180508,
1073,2515,0,20180101,20180102,20180112,20180116,
1127,2515,0,20180101,20180101,20180206,20180206,
1318,2517,1,20180115,20180115,,,20180116
1517,2517,16,20180115,20180115,,,20180116
1515,2517,2,20180131,20180201,,,20180201
1536,2517,5,20180306,20180307,,,20180307
1548,2517,9,20180403,20180406,,,20180404
1428,2517,1,20180404,20180404,,,20180405
1371,2517,5,20180420,20180421,,,20180421
1414,2517,0,20180424,20180424,20180427,20180503,
1286,2518,0,20180419,20180421,20180420,20180424,
1063,2519,0,20180101,20180102,20180109,20180112,
1546,2520,2,20180410,20180411,,,20180411
1270,2520,0,20180411,20180412,20180413,20180417,
1239,2521,0,20180323,20180325,20180327,20180402,
1590,2521,5,20180411,20180412,,,20180412
1045,2522,0,20180101,20180101,20180103,20180105,
1081,2523,0,20180115,20180115,20180118,20180122,
1111,2524,0,20180116,20180116,20180126,20180130,
1095,2525,0,20180118,20180118,20180124,20180126,
1498,2526,1,20180313,20180313,,,20180314
1309,2526,2,20180313,20180313,,,20180314
1384,2526,11,20180320,20180320,,,20180321
1420,2526,1,20180423,20180423,,,20180424
1407,2526,5,20180502,20180502,,,20180503
1542,2526,1,20180503,20180503,,,20180504
1334,2527,1,20180109,20180110,,,20180110
1527,2527,11,20180118,20180118,,,20180119
1481,2527,1,20180119,20180119,,,20180120
1483,2527,1,20180119,20180119,,,20180120
1449,2527,1,20180122,20180122,,,20180123
1139,2527,0,20180208,20180209,20180209,20180213,
1145,2528,0,20180208,20180208,20180209,20180213,
1290,2529,0,20180416,20180419,20180420,20180424,
1553,2530,9,20180423,20180423,,,20180424
1568,2530,0,20180427,20180427,20180503,20180507,
1581,2530,0,20180427,20180427,,,
1056,2531,0,20180101,20180102,,20180109,
1066,2531,0,20180101,20180101,,20180112,
1110,2531,0,20180115,20180115,20180117,20180119,
1529,2532,2,20180115,20180115,,,20180116
1104,2532,0,20180123,20180124,20180124,20180129,
1463,2533,1,20180123,20180124,,,20180124
1482,2533,15,20180124,20180124,,,20180125
1126,2533,0,20180125,20180127,20180201,20180206,
1484,2534,1,20180125,20180126,,,20180126
1376,2534,2,20180207,20180208,,,20180208
1143,2535,0,20180208,20180209,20180209,20180213,
1144,2535,0,20180208,20180208,20180209,20180213,
1149,2537,0,20180209,20180210,20180213,20180216,
1037,2538,0,20180212,20180212,20180215,20180220,
1170,2539,0,20180213,20180213,20180222,20180226,
1180,2540,0,20180228,20180228,20180301,20180306,
1316,2541,10,20180306,20180306,,,20180307
1499,2541,1,20180313,20180313,,,20180314
1500,2541,2,20180320,20180320,,,20180321
1497,2541,2,20180326,20180326,,,20180327
1241,2541,0,20180327,20180327,20180329,20180402,
1255,2542,0,20180403,20180403,20180406,20180410,
1254,2542,0,20180403,20180403,20180406,20180410,
1408,2544,5,20180408,20180408,,,20180409
1275,2544,0,20180410,20180410,20180413,20180417,
1539,2545,0,20180410,20180411,,,
1100,2546,0,20180122,20180123,20180124,20180129,
1366,2547,1,20180223,20180223,,,20180224
1397,2547,2,20180227,20180227,,,20180228
1028,2547,0,20180301,20180302,20180306,20180309,
1032,2548,0,20180406,20180406,20180413,20180419,
1573,2549,7,20180413,20180413,,,20180414
1048,2550,0,20180101,20180101,20180103,20180105,
1213,2551,0,20180313,20180313,20180315,20180320,
1341,2551,1,20180313,20180314,,,20180314
1030,2551,0,20180403,20180403,20180413,20180417,
1077,2553,0,20180101,20180102,,20180116,
1049,2554,0,20180101,20180102,,20180105,
1443,2555,1,20180207,20180208,,,20180208
1353,2555,2,20180308,20180309,,,20180309
1257,2555,0,20180411,20180411,20180412,20180412,
1310,2556,1,20180416,20180416,,,20180417
1569,2556,0,20180423,20180423,20180427,20180502,
1042,2557,0,20180101,20180102,,20180102,
1385,2558,2,20180131,20180201,,,20180201
1495,2558,1,20180306,20180307,,,20180307
1346,2558,9,20180312,20180312,,,20180313
1496,2558,1,20180321,20180321,,,20180322
1250,2558,0,20180403,20180404,20180406,20180410,
1417,2559,2,20180405,20180405,,,20180406
1346,2559,0,20180503,20180504,20180504,20180511,
1067,2560,0,20180101,20180103,20180109,20180112,
1057,2561,0,20180101,20180102,,20180109,
1116,2561,0,20180101,20180101,,20180202,
1089,2563,0,20180112,20180112,20180122,20170123,
1524,2564,2,20180117,20180118,,,20180118
1156,2564,0,20180213,20180214,20180216,20180220,
1183,2565,0,20180226,20180227,20180302,20180305,
1216,2566,0,20180312,20180314,20180316,20180320,
1552,2567,0,20180423,20180426,20180427,20180502,
1423,2568,1,20180424,20180424,,,20180425
1411,2568,0,20180430,20180430,20180504,20180509,
1380,2569,0,20180430,20180430,20180504,20180509,
1043,2570,0,20180101,20180102,,20180102,
1261,2571,0,20180410,20180410,20180412,20180416,
1556,2571,16,20180410,20180410,,,20180411
1427,2571,2,20180423,20180423,,,20180424
1557,2571,16,20180423,20180423,,,20180424
1092,2573,0,20180117,20180119,20180122,20180126,
1373,2574,16,20180208,20180208,,,20180209
1151,2574,0,20180214,20180214,20180216,20180220,
1501,2575,1,20180214,20180214,,,20180215
1040,2575,9,20180226,20180226,,,20180227
1189,2575,5,20180305,20180306,20180308,20180313,
1192,2576,0,20180305,20180305,20180309,20180313,
1222,2577,0,20180313,20180314,20180316,20180320,
1537,2578,15,20180426,20180427,,,20180427
1592,2578,13,20180502,20180504,,,20180503
1101,2579,0,20180123,20180123,20180125,20180129,
1510,2580,2,20180125,20180125,,,20180126
1207,2580,0,20180308,20180308,20180313,20180316,
1475,2581,1,20180312,20180313,,,20180313
1208,2581,0,20180313,20180314,20180315,20180320,
1231,2582,0,20180320,20180321,20180322,20180326,
1339,2582,2,20180320,20180320,,,20180321
1584,2582,1,20180403,20180403,,,20180404
1410,2582,7,20180403,20180404,,,20180404
1418,2582,7,20180403,20180404,,,20180404
1251,2582,0,20180404,20180405,20180406,20180410,
1300,2584,0,20180424,20180424,20180426,20180430,
1549,2585,2,20180327,20180327,,,20180328
1429,2585,5,20180406,20180406,,,20180407
1404,2585,1,20180424,20180424,,,20180425
1369,2585,0,20180426,20180427,,,
1036,2586,16,20180115,20180115,20180118,20180123,
1122,2587,0,20180116,20180116,20180131,20180202,
1446,2588,16,20180214,20180214,,,20180215
1163,2588,0,20180219,20180219,20180221,20180226,
1187,2589,0,20180305,20180305,20180308,20180312,
